id	title	abstract	keywords
11	新能源汽车创新生态系统演进机理——基于比亚迪新能源汽车的案例研究	"基于创新生态系统理论思想,运用解释性案例研究方法,通过对比亚迪新能源汽车创新历程的考察,探究新能源汽车创新生态系统演进机理。研究表明,新能源汽车创新生态系统依次遵循基于""渐进性小生境→开放式产品平台→全面拓展""的三阶段演进路径,其演进的内在机理是新能源汽车创新链和采用链的协同机理,并且是在创新驱动力、需求拉动力和和政策引导力的动态综合作用下实现了持续演进。"	创新生态系统 新能源汽车 演进机理 案例研究
12	电动汽车充电基础设施建设与政府策略分析	本文以电动汽车充电基础设施建设的必要性尤其是当前的紧迫性为分析起点,界定了充电基础设施的准公共品性和准经营性特征,分析了包括政府在内的供给主体多元化的必要性和可行性,同时依据国内外政府参与充电基础设施建设的现有经验,提出政府参与的投融资政策制定者和必要的财政补贴扶持者角色。最后,本文主要给出了五个方面的政府策略:一是提高充电基础设施建设的全局性战略认识;二是加强充电基础设施外部性测度研究的支持力度;三是推动实现充电基础设施建设主体多元化;四是完善充电基础设施建设的补贴机制;五是加强对地方政府的引导和宏观调控。	电动汽车 充电基础设施 政府策略
13	基于市场表现的中国新能源汽车产业发展政策剖析	发展新能源汽车作为应对能源与环境问题的有效解决方式之一,受到世界各国的重视。中国政府对于新能源汽车产业的发展非常重视,在中央政府层面也提出了多项促进新能源汽车产业发展的相关政策,特别是将产业发展放到国家发展战略的高度。文章在梳理和分类2001-2015年中国新能源汽车产业发展政策(国家层面)、全面展示产业政策的时间演进与变化趋势的基础上,应用产业链分析的方法,按照研发、生产、销售和使用的顺序,选取新能源汽车产业的技术专利数据、产销量数据和商业模式等指标,将中国新能源汽车产业的市场表现与政策进行关联,构建中国新能源汽车产业市场表现与产业政策关联分析框架。然后,在搜集相关市场数据的基础上,采用该分析框架分别从技术专利、产销量和商业模式三个方面对市场表现和产业政策的关联关系进行深入剖析,发现随着产业政策数量与力度的增加,三个方面的市场表现整体均呈现出快速发展的趋势,且技术创新与商业模式创新的战略方向与发展路径均与政策导向基本一致。最后,文章对推广应用补贴和免征车辆购置税的政策变化和影响进行了相关讨论,讨论结果表明随着两项典型政策调整与退坡,国家逐步释放市场信号,显示出政策支持形式与内容在发生变化,特别是体现出对产业技术创新和商业模式创新领域的重视。本文的研究表明:中国已经构建起较为完善的新能源汽车产业发展政策体系,政策体系与市场表现之间存在强关联关系,对新能源汽车产业的技术专利、产品产销量、以及商业模式等市场表现方面起到重要的引领作用;伴随着中国新能源汽车产业政策的调整,提升产业竞争力、占据产业发展新方向将成为产业下一步重点关注的方向。	新能源汽车 产业政策 市场表现 技术专利
14	北京市居民汽车使用的特征及其影响因素	目前,中国城市私人汽车的拥有量高速增长,小汽车不仅日益成为居民日常出行的重要交通方式,更深刻影响着城市的空间结构和道路的拥堵状况。然而,目前国内对汽车使用的研究仍十分匮乏。为此,本文试图基于2011年11月到2012年7月在北京进行的一项问卷调查数据,分析家庭汽车使用行为的特征、强度及影响因素。描述性统计和(定序Logistic)回归分析结果显示,汽车使用目的、建成环境和各种家庭/个人社会经济特征对大城市居民的汽车使用强度和依赖度有重要影响。其中,通勤是居民日常使用汽车的主要目的;公共交通条件较差和停车条件便利是促使居民大量使用汽车的重要原因;婚姻状态、工作状态、家庭规模和家庭内持有驾照的成员数等对居民的日常汽车使用也有重要影响;周末与工作日的汽车使用频次或时长没有显著差异。这些发现对道路交通规划和交通政策的制定有重要参考意义。不过,要想更有效地控制汽车使用行为,未来的研究仍有必要增强对因果关系、出行的限制条件和影响交通行为的心理机制等问题的考察。	汽车使用强度 车辆行驶里程 汽车依赖度 建成环境
15	电动汽车分布式储能控制策略及应用	在分析电动汽车动力电池特性的基础上提出了电动汽车分布式储能的概念。在满足电池约束、电网约束和车主约束的基础上提出了电动汽车分布式储能的控制策略。电动汽车分布式储能控制中心根据实时电动汽车并网(vehicleto-grid,V2G)参与情况以及电动汽车自身充放电标志,将所有电动汽车分为EVs1和EVs2两个车群:EVs1负责充电,EVs2负责放电。车群管理系统根据每辆电动汽车上一时刻充放电状态以及电网对分布式储能的功率要求,动态管理每个车群。每辆电动汽车实现了与分布式储能控制中心的信息双向交换,和与电网的能量双相交换。通过提高分布式可再生能源可调度性的算例仿真,验证了所提电动汽车分布式储能控制策略显著提高可再生能源可调度性的同时,大幅降低了电动汽车充放电切换次数,从而减缓了电动汽车动力电池寿命的衰减。	分布式储能 可再生能源调度性 电动汽车 V2G
16	基于动态分时电价的电动汽车充电站有序充电策略	提出基于动态分时电价的电动汽车充电站有序充电控制方法。该方法在综合考虑用户的充电需求和电网负荷水平的基础上,以削峰填谷为目标,采用启发式算法动态求解接入充电站电动汽车的分时电价时段,由用户自主响应,以实现充电站内电动汽车有序充电。为验证所提方法的有效性,采用蒙特卡洛方法模拟用户充电需求,对电动汽车充电站在有序充电和无序充电两种情形下的配电变压器负荷、充电站运营经济效益和用户充电成本进行仿真计算和分析。结果表明:相较无序充电方法,用户通过自主响应充电站制定的动态分时电价激励,可显著降低充电站的运营成本和电动汽车用户的充电成本,并有效实现充电负荷削峰填谷。	电动汽车 充电站 有序充电 分时电价
17	计及可入网电动汽车的微网系统经济调度	概述了电动汽车的功率特性,以蒙特卡洛法仿真电动汽车的充放电行为,得到不同规模的电动汽车接入电网时的负荷特性曲线。分析了电动汽车无序充电时的需求特性和电动汽车接入网络时有序充放电容量曲线,并构建了能够计及可入网电动汽车的微网多目标经济调度模型。基于Visual C++软件平台,采用优先顺序法,以某地区某日经济调度为例,计算得到不同策略、不同目标函数下的最优调度结果。最后,通过比较分析,验证了所提模型的有效性和可行性。	微网(微电网) 经济调度 优先顺序法 可入网电动汽车
18	含电动汽车和风电机组的虚拟发电厂竞价策略	对于含电动汽车和风电机组的虚拟发电厂,由于可调度充放电的电动汽车数量和风电机组出力均存在明显的不确定性,这样虚拟电厂在电力市场中参与竞价时就必须考虑这些不确定性。在此背景下,计及上述不确定性因素的影响,并在下述假定的基础上研究了含电动汽车和风电机组的虚拟发电厂竞价策略:风机出力的上下限为随机变量;日前能量市场和调节市场电价均为波动区间已知的随机变量;虚拟电厂中可调度充放电的电动汽车数量足够大,能够在平抑虚拟电厂内的风电机组出力波动的同时参与调节市场竞价。在同时考虑电动汽车电池放电损耗成本以及调节备用被实际调用比例的情形下,构建了虚拟电厂参与日前能量市场和调节市场的联合竞价策略的鲁棒优化模型。之后,采用IBM公司开发的高效商业求解器CPLEX 12.2对模型进行了求解。最后,通过算例对所构建的模型和采用的方法进行了验证,算例结果表明了所建立模型的合理性和求解方法的有效性。	虚拟发电厂 电动汽车 风力发电 电力市场
19	考虑时空分布的电动汽车充电负荷预测方法	提出了一种基于电动汽车驾驶、停放特性的考虑时空分布的电动汽车充电负荷预测方法。采用停车生成率模型预测停车需求,结合不同类型汽车、不同停放目的地的停车特性,建立电动汽车停车需求时空分布模型。从电动汽车日行驶里程、日停放需求时空分布特性入手,分析充电需求。采用蒙特卡洛模拟方法,仿真大规模电动汽车不同时间、不同空间的停放、驾驶以及充电行为,预测电动汽车充电负荷的时空分布特性。以深圳市为例,预测结果表明:电动汽车用户充电行为选择以及公共停车场充电设施配建比例不同,充电负荷也将有不同的分布;居民区、工作单位配建充电设施可满足大部分电动汽车的充电需求;同一城市不同区域建设用地类型不同,充电负荷具有明显差异。	电动汽车 停车生成率模型 蒙特卡洛模拟 充电负荷
20	电动汽车移动储能辅助频率控制策略的研究	大量电动汽车接入电网后,不仅可以作为可控充电负荷存在,也可以作为移动储能装置为电网提供服务与支持。首先分析了电动汽车参与电网频率控制的优势,介绍了一种移动储能辅助调频系统的结构框架及工作机理。基于电力系统频率调节控制基本动态模型,建立了电动汽车参与电网一次、二次频率调节控制的模型。在此基础上,针对相关研究较少考虑电动汽车车辆属性的特点,提出了计及车辆限制和用户需求的电动汽车参与电网频率调节的控制策略。该策略能够满足车辆用户用车时间和容量的个性化需求,同时有效避免了荷电状态超限和充放电电流倍率过大对电池造成的不利影响。最后,通过两个算例对提出的模型和控制策略进行了研究分析,验证了模型与策略的可靠性。	电动汽车 辅助调频 车辆限制 用户需求
21	计及电动汽车充电预测的实时充电优化方法	电动汽车大规模接入电网后,如何优化实时充电功率,避免自由充电带来的晚高峰,实现填谷充电成为重要问题。文中首先回顾了常规实时充电优化方法和电动汽车充电预测技术。基于电动汽车尤其是汽车集群充电行为的可预测性,在常规充电优化方法中加入了未入网汽车的充电预测模型,提出计及汽车充电预测的实时充电优化模型,并通过滚动优化求解得到入网汽车的实时优化充电功率。通过分析和仿真,在不同预测精度下,所提方法都非常接近理论上的最优填谷,并且电动汽车入网充电时间越分散,所提方法对常规方法的改善越明显。	电动汽车 实时充电优化 汽车充电预测 滚动优化
22	京津冀都市圈汽车产业空间布局演化研究	产业的集聚与扩散所形成的产业结构变迁,带动城市空间发生重构。随着产业不断发展成熟,生产片段化的趋势日益显著,对地区产业链的研究有助于寻求区域空间结构优化的途径。本文基于企业层面的数据,刻画京津冀都市圈汽车制造业企业的空间分布格局,考察汽车企业在都市圈范围内集聚与扩散特点,探讨汽车产业链不同环节的地域特征差异,并分析影响微观企业空间布局的驱动力量。研究结果表明,1996年京津冀都市圈汽车产业集聚程度较低,2001年出现少数集聚中心主导的向心集聚,2010年核心城市与多个新兴集聚点共存;北京的城市功能拓展区和城市发展新区(朝阳、通州、大兴等)、天津市环城4区(西青、东丽等)以及河北的沧州、廊坊是汽车零部件和配件企业的主要集聚区,而汽车修理企业则倾向于在北京的城市功能拓展区(丰台、朝阳)、天津市内六区和滨海新区以及河北的唐山和石家庄布局。基于条件logit模型的定量研究,验证了市场条件、集聚经济和政策引导等因素是影响京津冀都市圈汽车企业布局的主要因素。	汽车产业 空间布局 城市结构 京津冀都市圈
23	基于出行链的电动汽车充电负荷预测模型	提出了一种基于电动汽车行驶出行链的考虑充电频率的电动汽车充电负荷预测方法。由居民出行调研统计数据将家用车辆出行目的分为五大类,构建简单和复杂出行链,分别采用三参数威布尔函数和对数正态概率分布函数拟合每段行程的结束时间和行驶距离,建立车辆一天行驶的时空分布模型;考虑温度、交通路况等因素对电动汽车耗电量的影响,采用模糊算法计算得到每公里实时耗电量结果。用蒙特卡洛仿真方法对不同渗透率、夏冬季、工作日和周末等不同情景电动汽车充电负荷进行计算,结果表明,电动汽车充电负荷具有季节性、假日性,电动汽车无序充电将使电网最大负荷发生一定增长,并随其渗透率逐步加大。	电动汽车 充电负荷 全美家庭出行调查数据 出行链
24	创客教育的价值潜能及其争议	"全球创客运动的蓬勃发展为教育的创新改革提供了新的契机。创客教育是一种融合信息技术,秉承""开放创新、探究体验""教育理念,以""创造中学""为主要学习方式和以培养各类创新型人才为目的的新型教育模式。做中学、快乐教育、大成智慧、构造论是创客教育背后的核心理念。创客教育具有无限的价值潜能,将对个体发展、课程改革、教育系统变革以及国家人才战略产生重大影响。创客教育的实践框架需要从创客环境、创客课程、创客学习、创客文化、创客教师队伍、创客教育组织、创客教育计划等多个方面协同推进。在实践方面,由美国引领下的全球创客教育运动正在兴起,而且表现出良好的发展势头。与此同时,创客由于过度强调制造产品的价值,忽视了对非创客人群存在价值的尊重,可能是一种畸形的技术文化。在推进实践的过程中,创客教育应积极应对发展过程中面临的经费问题、教师培训问题、与课程要求以及考试的矛盾、教育公平和均衡问题等诸多挑战。"	创客 创客空间 创客教育 创客运动
25	教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察	本文基于2006、2008和2011年全国抽样调查数据,采用Mare升学模型,系统考察1940-2010年各教育阶段城乡教育机会不平等的变化趋势。通过5个出生年龄组比较分析,发现小学教育的城乡机会不平等在下降,初中教育的城乡机会不平等没有变化,而高中及其他高级中等教育的城乡机会不平等持续上升,大学阶段的城乡机会不平等略有上升。本文的主要结论是:中等教育的城乡不平等是教育分层的关键所在,初中升入高级中等教育阶段的城乡机会不平等持续扩大,而这是导致农村子弟上大学相对机会下降的源头。与此同时,本文还对工业化理论假设、再生产理论假设和文凭主义假设进行了验证,数据分析结果支持再生产理论假设。	教育不平等 城乡差距 教育扩张
26	发展教育大数据:内涵、价值和挑战	我国教育领域的发展与改革正面临前所未有的挑战,大数据与教育的结合成为时代发展的必然要求。教育大数据是指整个教育活动过程中所产生的以及根据教育需要采集到的,一切用于教育发展并可创造巨大潜在价值的数据集合。在当前国际形势下,教育大数据从战略高度应定位为推动教育变革的新型战略资产、推进教育领域综合改革的科学力量以及发展智慧教育的基石。教育大数据的最终价值应体现在与教育主流业务的深度融合以及持续推动教育系统的智慧化变革上,具体表现在驱动教育管理科学化、驱动教学模式改革、驱动个性化学习真正实现、驱动教育评价体系重构、驱动科学研究范式转型、驱动教育服务更具人性化。然而由于教育系统自身更强的独特性和复杂性,我国教育大数据的发展也面临应用落地、数据安全、数据治理与运营等诸多挑战。只有正视并深入研究这些问题,才能推动我国教育大数据持续健康发展。	教育大数据 教育改革 教育信息化 内涵界定
27	教育如何影响了人们的健康?——来自中国老年人的证据	教育和健康作为人力资本的最重要部分,其互补关系引起了经济学家的高度关注。本文使用中国老年人数据,研究了教育对健康的影响及其内在机制。结果发现教育显著提高了中国老年人的健康水平和存活率,且教育带来的健康投入效率的提高比预算约束的放松所起的作用更大,因此可以通过健康行为的干预来增进人们的健康。本文进一步证实了教育对健康影响的持久性和跨国普适性,同时也发现了教育对中国老年人健康的影响渠道的一些有趣特点。	教育 健康 渠道分析
28	终身教育、终身学习与学习型社会的全球发展回溯与未来思考	终身教育、终身学习和学习型社会的理念先后诞生于20世纪60年代中后期的西方社会,三者的发展紧密地交织在一起,互为激发、相互影响,共同构成了20世纪70年代以来世界教育改革与发展具有共识性的基本指导思想与原则。本研究结合历史和比较的研究方法,在全球发展脉络中系统地展现与分析了这三大理念的基本内涵及其主要政策与实践举措的发展和成因,研究结论指出:终身教育、终身学习和学习型社会三者在理念上一直存在着内在一致性,即都以促进人的全面发展为根本目的,它们在实践运作上虽各有侧重,但又离不开相互之间的支持与协同。研究为更深入地把握三者之间的关系提供了一个整体性的认知框架,并以此框架为基础,就三者的未来行动策略提供了若干可资参考的思路。	终身教育 终身学习 学习型社会 发展回溯
29	新媒体联盟2015地平线报告高等教育版	美国新媒体联盟《地平线报告》已经连续发布13年,堪称全球历时最长的探索新技术发展趋势和教育应用的报告。《2015地平线报告高等教育版》由新媒体联盟和美国高校教育信息化协会合作完成,旨在考察新兴技术对高等教育教与学及创造性探究所产生的潜在影响。报告放眼2016-2020年,沿用以往讨论趋势和挑战的三元维度展开,即政策,领导力和实践,确定了18项未来五年极有可能影响高等教育变革的关键趋势、重大挑战和重要的技术进展。关键趋势中,长期趋势包括:创设灵活且富于创新的学习环境,以及增进高等教育机构之间的合作;中期趋势包括:量化学习和开放教育资源的激增;短期趋势包括:混合学习的应用和学习空间的重构。就制约高等教育领域技术应用的挑战而言,正式与非正式学习的融合、数字素养的提升被认为是可解决的挑战,个性化学习与复杂性思维教学的实现是艰难的挑战,而教育模式的竞争以及教学激励机制的变革则是棘手的挑战。未来1-5年内,自带设备、翻转课堂、创客空间、可穿戴技术、自适应学习技术以及物联网技术将对高等教育产生重要影响。《2015地平线报告高等教育版》中文版,由广州广播电视大学龚志武博士团队编译,华南师范大学焦建利博士审校。其发布目的是及时了解国际范围内高等教育机构未来五年的前景如何、哪些技术和发展趋势将推动教育变革,以及将面对哪些艰难的挑战等问题,希望引起国内专家的关注和研究,以促进我国高等教育变革和教育信息化发展。	个性化学习 美国 美利坚合众国 北美洲
30	美国高校实施创客教育的路径分析	近年来,随着全美创客行动(Maker Movement)的快速发展,美国越来越多的高校开始将创客教育(Maker Education)作为培养学生创造与创新能力以及创业就业能力的重要途径。创客教育的核心是支持学生开展基于创造的学习,而基于创造的学习的关键是对学生学习主体性、实践性、深度参与性、连续性与完整性(学生往往需要完成从规划到设计再到开发制作产品的完整过程)的充分尊重。学生在基于创造的学习过程中需要主动发现、自主探究,在发现、分析与解决问题的过程中创生、验证、发展出自己的创想,在提升问题解决能力的同时又保持创造的激情与信心,这些是创造与创新能力的核心品质。基于对美国高校实施创客教育的具体举措与经验的梳理与总结,本文分析了美国高校开展创客教育的基本路径:在意识层面积极响应全美创客行动,充分重视创客教育在高等教育中的价值,这是实施创客教育的起点与目标指向;在规划层面注重对学校开展创客教育的整体设计,充分关注与社区创客教育的联动,这是实施创客教育的重要前提;在实践层面着力打造优质的创客空间提供创客教育环境,灵活选择适切的创客教育实施方式,这是创客教育得以真正实施的重要依托。	创客教育 高等教育 基于创造的创新 美国
31	教育信息化资源发展战略研究	"教育信息化资源是教育信息化系统工程中的一块基石,其中的软件资源建设正逐步成为教育信息化建设的重点内容。借鉴开放教育资源的分类标准,教育信息化软件资源可划分为""数字化教育内容""、""数字化工具性软件""、""数字化教育平台""三大部分。对比国内外的政策和案例可知,我国的资源建设存在质与量均不足、资源适用性不强及难以共享等问题。而从建设内容、建设方式、评价三方面来看,国际上则秉承""鼓励教学应用,以用促建""的建设思路,注重资源向普及化与个性化服务同步发展,关注整合资源的动态平台建设,同时倡导对资源的多样化评估。上述这些,对我国在开展教育信息化资源建设工作中强化应用导向具有重要意义。"	教育信息化 资源 数字化教育内容 数字化工具
32	教育信息化的宏观政策与战略研究	"教育信息化是伴随着信息与通讯技术的迅猛发展,全球化进程中教育实践的深化发展以及信息与通讯技术在教育领域中的渗透与应用,而逐渐受到世界各国广泛关注的全球性热点问题之一。在过去的几十年间,世界上许多地区、国家以及国际组织都纷纷制定了各自的教育信息化宏观政策与战略,并积极推动这些宏观政策与战略的落实与实施。通过系统分析教育信息化的内涵与外延,对我国教育信息化事业的发展进行简要的回顾和对""教育信息化宏观政策与战略研究""系列文章的目的、研究对象、研究方法与过程进行介绍,进而深入分析了此项研究对于推进我国教育信息化与学习型社会的建设的理论与实践工作的重要意义与价值。"	教育信息化 教育信息化政策 教育信息化构成要素
33	智慧教育体系架构与关键支撑技术	"智慧教育正在引领全国教育信息化的发展方向,成为技术变革教育时代教育发展的主旋律。智慧教育是一个宏大的系统工程,其总体架构可以概括为""一个中心、两类环境、三个内容库、四种技术、五类用户、六种业务""。智慧教育云中心是带动一个国家或地区教育信息化整体飞跃发展的关键;两类环境包括支持学校教育的智慧校园和支持终身教育的学习型智慧城区;重点建设三个沉淀智慧的内容库,包括学习资源库、开放课程库和管理信息库;物联网、云计算、大数据、泛在网络是支撑智慧教育""大厦""构建的四种核心智慧技术;重点服务教师、学生、家长、教育管理者和社会公众五类用户;有效支撑包括智慧教学、智慧学习、智慧管理、智慧科研、智慧评价和智慧服务在内的六大主流教育业务的顺利开展。智慧教育的建设与可持续发展离不开智慧技术的创新应用:物联网技术提升教育环境与教学活动的感知性;大数据技术提高教育管理、决策与评价的智慧性;云计算技术拓展教育资源与教育服务的共享性;泛在网络技术增强教育网络与多终端的连通性。"	智慧教育 体系架构 智慧技术 创新应用
