id,title,key
122,著作权法中不受保护的“时事新闻”,方式 新闻 情况 照片
123,电子政务知识体系框架研究,问题 过程 人们 基本
124,电子病历命名实体识别和实体关系抽取研究综述,问题 过程 关系 医疗
125,电子诉讼制度构建的法律基础,制度 关系 信息 技术
126,电子证据的关联性,时间 制度 地址 数据
127,从电子商务法到网络商务法——关于我国电子商务立法定位的思考,联合国 社会 问题 建议
128,基于扎根理论方法的中俄跨境电子商务发展研究,企业 国家 建议 意义
129,我国跨境电子商务的发展模式与策略建议,全球 平台 企业 建议
130,互联网金融发展、电子货币替代与预防性货币需求,经济 建议 成本 产生
131,ICT、移动支付与电子货币,方式 企业 人们 信息
132,学生对电子书包的态度及理解研究,方式 学生 建议 人群
133,中国城市电子商务发展水平空间分布特征及影响因素,中国 城市 人口 企业
134,农业电子商务国内外研究现状与展望,中国 平台 企业 文献
135,第三方支付机构跨境电子支付服务监管的法律问题,规定 制度 机构 基本
