id,title,key
25,教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察,机会 平等 城乡 教育
26,发展教育大数据:内涵、价值和挑战,教育 驱动 数据 发展
27,教育如何影响了人们的健康?——来自中国老年人的证据,健康 教育 老年人 影响
28,终身教育、终身学习与学习型社会的全球发展回溯与未来思考,发展 研究 社会 三者
29,新媒体联盟2015地平线报告高等教育版,高等教育 技术 学习 挑战
30,美国高校实施创客教育的路径分析,创客 教育 创造 实施
31,教育信息化资源发展战略研究,资源 建设 教育 信息化
32,教育信息化的宏观政策与战略研究,教育 信息化 研究 战略
33,智慧教育体系架构与关键支撑技术,教育 技术 发展 管理
34,创客教育:信息技术使能的创新教育实践场,教育 创客 发展 学生
35,教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析,教育 回报 健康 体现
36,中国农民工多维贫困的演进——基于收入与教育维度的考察,农民工 教育 贫困 劳动者
37,创客教育连续统:激活众创时代的创新基因,教育 创客 创新 时代
38,“广谱式”创新创业教育的体系架构与理论价值,教育 创业 创新 理论
39,“互联网+”时代中国远程教育的机遇和挑战,教育 远程教育 模式 发展
40,数字化时代的STEM教育与创客教育,教育 创客 课程 强调
41,技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径,创客 教育 创造 学习
42,收入风险、融资约束与人力资本积累——公共教育投资的作用,教育 投资 人力资本 收入
43,新型城镇化与社区教育发展研究,城镇化 社区 教育 发展
44,创客教育的价值潜能及其争议,创客 教育 价值 问题
45,教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察,机会 平等 城乡 教育
46,发展教育大数据:内涵、价值和挑战,教育 驱动 数据 发展
47,教育如何影响了人们的健康?——来自中国老年人的证据,健康 教育 老年人 影响
48,终身教育、终身学习与学习型社会的全球发展回溯与未来思考,发展 研究 社会 三者
49,新媒体联盟2015地平线报告高等教育版,高等教育 技术 学习 挑战
50,美国高校实施创客教育的路径分析,创客 教育 创造 实施
51,教育信息化资源发展战略研究,资源 建设 教育 信息化
52,教育信息化的宏观政策与战略研究,教育 信息化 研究 战略
53,智慧教育体系架构与关键支撑技术,教育 技术 发展 管理
54,创客教育:信息技术使能的创新教育实践场,教育 创客 发展 学生
55,教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析,教育 回报 健康 体现
56,中国农民工多维贫困的演进——基于收入与教育维度的考察,农民工 教育 贫困 劳动者
57,创客教育连续统:激活众创时代的创新基因,教育 创客 创新 时代
58,“广谱式”创新创业教育的体系架构与理论价值,教育 创业 创新 理论
59,“互联网+”时代中国远程教育的机遇和挑战,教育 远程教育 模式 发展
60,数字化时代的STEM教育与创客教育,教育 创客 课程 强调
61,技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径,创客 教育 创造 学习
62,收入风险、融资约束与人力资本积累——公共教育投资的作用,教育 投资 人力资本 收入
63,新型城镇化与社区教育发展研究,城镇化 社区 教育 发展
64,当代西方文论若干问题辨识——兼及中国文论重建,文论 文学 理论 文本
65,语言变革对中国现代文学形式发展的深度影响,形式 现代文学 语言 发展
66,论文学地图,文学 地图 研究 方法
67,民间文学:转向文本实践的研究,民间文学 实践 文本 表演
68,世界诗学的构想,文学 世界 理论 成为
69,新文学对传统文化的批判与承续,文化 传统 民族 文学
70,中国文学地理学的研究范式与学科融合趋势,文学 研究 地理学 学科
71,从当下实践出发建立文学研究的中国话语,话语 学术 建设 文学
72,马克思经济全球化思想的哲学阐释逻辑,全球化 经济 历史 世界
73,基于游客视角的历史街区旅游发展模式影响机理及创新——以苏州平江路为例,历史 文化 发展 旅游
74,马克思主义中国化的当代理论成果——学习习近平总书记系列重要讲话精神,社会主义 特色 总书记 基本
75,历史虚无主义思潮的表现、特点及其危害,历史 否定 虚无主义 社会主义
76,马克思世界历史理论的方法论意义,理论 历史 重要 世界
77,法治与国家治理现代化,治理 法治 国家 现代化
78,国家治理现代化进程中的国家审计:制度保障与实践逻辑,国家 审计 治理 制度
79,国家认同:全球化视野下的结构性分析,认同 国家 层面 考察
80,现代国家认同建构的政治逻辑,国家 认同 结构 制度
81,自然资源国家所有权公权说再论,资源 国家 所有权 利用
82,中国宪法上国家所有的规范含义,所有权 宪法 国家 自然资源
83,加快法治建设促进国家治理体系和治理能力现代化,治理 国家 现代化 能力
84,论国家治理现代化框架下的财政基础理论建设,财政 全面 财税 制度
85,依法治国与推进国家治理现代化,治理 国家 推进 现代化
86,国际金融合作视野中的金砖国家开发银行,金砖 合作 国家 基础设施
87,论国家治理商数,治理 国家 商数 现代化
88,国家认同视域下的公民道德建设,公民道德 国家 公民 视域
89,国家治理体系与治理能力研究:回顾与前瞻,治理 研究 能力 国家
90,我国国家资产负债表与自然资源资产负债表的编制与运用初探——以SNA 2008和SEEA 2012为线索的分析,负债表 资产 自然资源 部门
91,社会自我规制与行政法的任务,规制 规范 治理 社会
92,法治社会建设论纲,法治 社会 建设 一体
93,宪法上的“国家所有权”:一场美丽的误会,宪法 所有权 国家 角度
94,国家所有的法律表达及其解释,国家 所有制 所有权 需要
95,论国家公园的公益性、国家主导性和科学性,国家 公园 利用 科学
96,地方法治建设及其评估机制探析,法治 地方 评估 建设
97,企业政治资源的诅咒效应——基于政治关联与企业技术创新的考察,企业 政治 资源 创新
98,中国政治传播研究的学术路径与现实维度,政治 发展 特色 社会主义
99,中国特色社会主义政治发展的实践前提与创新逻辑,政治 发展 社会主义 定位
100,政治关联影响我国上市公司长期绩效的三大效应,政治 长期 效应 带来
101,政治关联、高管薪酬与企业未来经营绩效,高管 薪酬 政治 企业
102,反腐败与企业创新:基于政治关联的解释,企业 反腐败 创新 政治
103,何种信任与为何信任?——当代中国公众政治信任现状与来源的实证分析,信任 政治 公众 来源
104,政治经济学批判:追求经济的“政治和哲学实现”,政治经济学 批判 哲学 社会
105,慈善捐赠、政治关联与债务融资——民营企业与政府的资源交换行为,民营企业 捐赠 债务 融资
106,民营企业的社会责任、政治关联与债务融资——来自中国资本市场的经验证据,政治 民营企业 责任 融资
107,论协商民主在宪法体制与法治中国建设中的作用,民主 体制 法治 协商
108,政治关联、国际化战略与企业价值——来自中国民营上市公司面板数据的分析,具有 显著 民营企业 政治
109,政治关联与公开债务融资,融资 债务 政治 改革
110,中国周边地缘政治与地缘经济格局和对策,地缘 经济 政治 关系
111,互联网的政治性使用与我国公众的政治信任——一项经验性研究,政治 信任 公众 互联网
112,“一带一路”的地缘政治想象与地区合作,想象 地缘 政治 一带
113,国企高管政治晋升对企业并购行为的影响——基于企业成长压力理论的实证研究,并购 成长 企业 高管
114,市场化、政治价值观与中国居民的政府信任,居民 价值观 政府 政治
115,司法机关依法独立行使职权研究,独立 依法 行使职权 司法
116,移动新闻推荐技术及其应用研究综述,新闻 移动 推荐 方面
117,“液态”的新闻业:新传播形态与新闻专业主义再思考——以澎湃新闻“东方之星”长江沉船事故报道为个案,新闻 参与 生产 专业
118,走向公共:新闻专业主义再出发,新闻 主义 专业 新闻业
119,数据新闻:“讲一个好故事”?——数据新闻对传统新闻的继承与变革,新闻 样式 数据 传统
120,微信新闻:一个交往生成观的分析,新闻 生产 微信 生成
121,西方数据新闻中的中国:一个视觉修辞分析框架,修辞 视觉 数据 框架
122,著作权法中不受保护的“时事新闻”,表达 报道 时事新闻 客观事实
123,电子政务知识体系框架研究,电子政务 知识 体系 框架
124,电子病历命名实体识别和实体关系抽取研究综述,实体 研究 识别 抽取
125,电子诉讼制度构建的法律基础,诉讼 电子 技术 法律
126,电子证据的关联性,证据 电子 关联性 数据
127,从电子商务法到网络商务法——关于我国电子商务立法定位的思考,电子商务 立法 定位 网络
128,基于扎根理论方法的中俄跨境电子商务发展研究,跨境 电子商务 发展 研究
129,我国跨境电子商务的发展模式与策略建议,跨境 发展 电子商务 模式
130,互联网金融发展、电子货币替代与预防性货币需求,需求 货币 电子货币 预防性
131,ICT、移动支付与电子货币,支付 移动 货币 电子货币
132,学生对电子书包的态度及理解研究,电子书 学生 使用 移动
133,中国城市电子商务发展水平空间分布特征及影响因素,发展 水平 电子商务 影响
134,农业电子商务国内外研究现状与展望,研究 模式 企业 文献
135,第三方支付机构跨境电子支付服务监管的法律问题,支付 监管 法律 服务
